AREACD,AREANM,Global cluster,Neighbour1,Neighbour2,Neighbour3,Neighbour4,Neighbour5,Neighbour6,Neighbour7,Neighbour8,Neighbour9,Neighbour10
E07000179,South Oxfordshire,1,E06000060,E07000093,E06000037,E07000085,E07000094,E07000180,E07000089,E07000181,E06000049,E06000040
E07000180,Vale of White Horse,1,E07000093,E07000179,E07000181,E06000025,E06000049,E07000086,E07000177,E07000012,E06000060,E07000071
E07000181,West Oxfordshire,1,E07000093,E06000049,E07000087,E06000037,E06000017,E07000085,E06000025,E06000054,E07000099,E06000024
E07000192,Cannock Chase,0,E07000199,E07000112,E07000087,E06000024,E06000051,E07000090,E06000006,E06000007,E06000020,E07000086
E07000193,East Staffordshire,0,E07000113,E07000117,E06000006,E07000105,E06000051,E06000013,E06000026,E06000047,E06000049,E06000019
E07000194,Lichfield,0,E06000024,E07000087,E06000051,E06000007,E06000049,E06000054,E07000085,E07000093,E06000052,E06000050
E07000195,Newcastle-under-Lyme,2,E06000006,E07000108,E06000047,E06000003,E06000004,E06000007,E07000106,E06000027,E06000026,E06000050
E07000196,South Staffordshire,0,E07000124,E06000024,E06000049,E07000087,E06000051,E07000112,E06000006,E07000119,E06000013,E07000091
E07000197,Stafford,0,E07000108,E06000054,E06000005,E06000050,E06000011,E06000007,E07000106,E06000022,E07000085,E07000105
E07000198,Staffordshire Moorlands,0,E06000019,E07000082,E06000051,E07000108,E06000054,E06000052,E06000006,E07000091,E06000049,E06000024
E07000199,Tamworth,0,E07000113,E07000132,E06000026,E07000192,E07000129,E07000034,E07000194,E06000007,E06000035,E06000024
E07000200,Babergh,0,E06000019,E06000051,E06000052,E06000017,E06000049,E07000091,E07000112,E06000054,E06000024,E06000011
E07000202,Ipswich,2,E07000073,E06000044,E06000033,E07000081,E06000058,E06000023,E06000038,E07000071,E07000078,E06000030
E07000203,Mid Suffolk,0,E06000019,E07000091,E07000082,E06000052,E07000083,E06000051,E07000087,E07000085,E07000093,E07000110
E07000207,Elmbridge,1,E07000089,E06000041,E06000037,E07000098,E07000179,E06000060,E07000102,E07000068,E07000111,E07000115
E07000208,Epsom and Ewell,1,E06000060,E06000040,E07000115,E07000099,E07000070,E06000041,E07000116,E06000036,E07000109,E07000071
E07000209,Guildford,1,E06000060,E06000037,E06000040,E07000089,E07000096,E07000084,E06000036,E07000070,E07000094,E07000085
E07000210,Mole Valley,1,E06000040,E06000037,E07000116,E07000089,E07000111,E07000085,E06000049,E07000093,E07000115,E07000099
E07000211,Reigate and Banstead,1,E07000084,E06000060,E06000040,E07000066,E06000036,E06000037,E07000179,E06000056,E07000086,E06000041
E07000212,Runnymede,1,E07000089,E06000041,E06000036,E06000037,E07000084,E07000179,E06000060,E06000025,E06000049,E07000180
E07000213,Spelthorne,1,E07000089,E06000040,E06000036,E07000095,E06000060,E07000086,E07000102,E07000099,E06000037,E07000092
E07000214,Surrey Heath,1,E07000093,E06000049,E06000037,E06000040,E07000085,E07000099,E07000115,E07000089,E06000041,E07000094
E07000215,Tandridge,1,E07000111,E07000077,E07000070,E07000072,E07000068,E06000060,E07000067,E07000115,E07000069,E07000085
E07000216,Waverley,1,E07000096,E07000116,E06000040,E07000085,E06000037,E07000094,E07000089,E07000093,E07000115,E06000049
E07000217,Woking,1,E07000099,E06000040,E07000096,E06000041,E07000093,E06000037,E07000115,E07000110,E07000089,E06000049
E07000218,North Warwickshire,0,E07000113,E06000051,E06000024,E06000052,E06000019,E06000049,E06000006,E06000050,E06000007,E06000011
E07000219,Nuneaton and Bedworth,2,E06000005,E06000004,E06000020,E07000118,E07000081,E07000108,E06000035,E06000007,E06000027,E06000050
E07000220,Rugby,1,E06000062,E06000025,E07000105,E07000113,E07000086,E06000020,E06000055,E06000024,E07000118,E06000035
E07000221,Stratford-on-Avon,0,E07000124,E07000085,E06000049,E07000093,E06000054,E07000119,E06000051,E06000024,E06000019,E06000017
E07000222,Warwick,1,E06000058,E07000084,E07000086,E06000025,E07000176,E06000022,E07000011,E06000062,E06000049,E07000071
E08000035,Leeds,2,E06000035,E06000030,E07000073,E06000058,E06000005,E07000130,E06000007,E06000061,E07000071,E07000123
E08000036,Wakefield,2,E06000004,E06000003,E06000005,E06000020,E06000001,E06000047,E07000033,E06000021,E06000061,E07000173
E08000037,Gateshead,2,E06000001,E06000005,E06000004,E06000006,E06000047,E07000034,E06000021,E06000026,E07000033,E07000172
E09000002,Barking and Dagenham,3,E06000034,E06000039,E06000055,E07000073,E06000016,E07000107,E06000031,E07000103,E06000042,E07000109
E09000003,Barnet,3,E07000098,E07000109,E07000102,E06000060,E06000040,E06000055,E06000042,E07000072,E07000135,E06000038
E09000004,Bexley,1,E06000034,E07000107,E07000109,E06000035,E07000115,E07000099,E06000033,E07000070,E07000095,E06000056
E09000005,Brent,3,E07000103,E06000016,E06000032,E06000038,E06000042,E07000135,E07000109,E06000015,E06000018,E06000045
E09000006,Bromley,1,E07000115,E06000040,E07000109,E06000060,E07000096,E07000089,E06000041,E07000084,E06000036,E07000107
E09000007,Camden,3,E06000038,E07000103,E07000178,E06000023,E06000045,E06000044,E06000040,E07000008,E07000098,E07000078
E09000008,Croydon,3,E06000038,E06000042,E06000039,E06000034,E07000092,E07000109,E06000032,E06000055,E06000035,E06000033
E09000009,Ealing,3,E07000103,E06000016,E06000032,E06000038,E06000042,E07000109,E07000135,E06000015,E06000055,E06000045
E09000010,Enfield,3,E06000032,E07000103,E06000034,E06000039,E06000038,E07000107,E06000055,E07000098,E06000042,E06000035
E09000011,Greenwich,3,E06000034,E06000038,E06000042,E07000107,E07000073,E06000032,E07000109,E06000055,E06000033,E06000035
E09000012,Hackney,3,E06000038,E07000103,E06000043,E07000008,E07000178,E06000045,E06000018,E06000044,E06000039,E06000016
E09000013,Hammersmith and Fulham,3,E06000038,E06000043,E07000103,E06000023,E06000044,E07000008,E06000045,E06000040,E07000078,E06000058
E09000014,Haringey,3,E06000038,E06000023,E06000045,E06000018,E06000043,E06000032,E06000044,E06000042,E06000033,E07000109
E09000015,Harrow,3,E07000103,E07000109,E06000055,E06000016,E06000032,E06000038,E06000042,E06000040,E07000123,E07000098
E09000016,Havering,1,E06000034,E07000107,E07000109,E06000035,E07000115,E06000033,E07000105,E07000095,E07000110,E06000007
E09000017,Hillingdon,3,E07000109,E07000103,E06000038,E06000042,E06000039,E07000123,E06000032,E06000036,E07000096,E06000030
E09000018,Hounslow,3,E07000103,E06000038,E06000032,E06000042,E06000016,E06000055,E06000036,E06000030,E07000109,E07000123
E09000019,Islington,3,E06000038,E06000023,E07000178,E07000103,E07000008,E06000045,E06000044,E07000148,E06000042,E07000041
E09000020,Kensington and Chelsea,3,E07000103,E06000038,E06000040,E07000178,E06000045,E07000008,E07000098,E06000044,E06000023,E06000058
E09000021,Kingston upon Thames,1,E07000103,E06000038,E06000041,E07000109,E06000060,E07000096,E07000099,E06000033,E06000036,E06000043
E09000022,Lambeth,3,E06000023,E07000178,E06000044,E06000043,E07000103,E06000045,E07000008,E06000018,E06000042,E06000039
E09000023,Lewisham,3,E07000103,E06000034,E06000042,E06000023,E06000033,E06000045,E06000032,E07000073,E07000107,E07000109
E09000024,Merton,3,E06000038,E06000042,E06000040,E06000034,E07000109,E06000060,E07000066,E06000036,E07000107,E07000095
E09000025,Newham,3,E06000039,E06000016,E07000103,E06000038,E07000109,E07000135,E07000123,E07000107,E06000034,E06000055
E09000026,Redbridge,3,E06000032,E07000103,E06000016,E07000109,E06000055,E07000123,E06000034,E06000038,E07000107,E06000042
E09000027,Richmond upon Thames,1,E06000041,E07000089,E06000060,E07000094,E07000179,E07000116,E07000098,E06000037,E07000096,E06000036
E09000028,Southwark,3,E07000103,E06000023,E06000043,E07000178,E06000045,E07000008,E06000044,E06000018,E06000042,E06000039
E09000029,Sutton,1,E07000103,E07000096,E07000107,E06000033,E06000060,E06000036,E07000115,E06000034,E06000035,E07000073
E09000030,Tower Hamlets,3,E06000038,E06000016,E07000103,E06000032,E06000045,E06000023,E06000044,E06000018,E07000092,E06000043
E09000031,Waltham Forest,3,E06000039,E06000032,E06000038,E06000016,E07000109,E06000045,E06000042,E06000018,E07000073,E06000034
E09000032,Wandsworth,3,E06000038,E06000043,E07000103,E07000008,E06000023,E06000040,E06000033,E06000042,E06000036,E06000041
E09000033,Westminster,3,E07000103,E06000038,E06000040,E06000045,E07000178,E07000008,E06000023,E06000044,E07000092,E07000098
N09000001,Antrim and Newtownabbey,2,E06000001,E06000006,E06000050,E07000141,E07000127,E07000132,E06000003,E06000007,E07000108,E06000005
N09000002,"Armagh City, Banbridge and Craigavon",0,E06000020,E06000006,E07000113,E06000004,E06000007,E07000105,E06000001,E06000050,E06000047,E06000049
N09000003,Belfast,2,E07000138,E06000044,E06000009,E06000045,E06000002,E07000121,E07000034,E06000006,E06000027,E07000123
N09000004,Causeway Coast and Glens,0,E06000006,E06000001,E06000004,E06000003,E06000047,E07000117,E06000007,E06000005,E06000050,E06000020
N09000005,Derry City and Strabane,2,E06000005,E06000001,E06000006,E07000117,E06000003,E07000141,E06000050,E06000047,E06000007,E07000127
N09000006,Fermanagh and Omagh,0,E07000218,E06000004,E06000006,E07000117,E06000020,E07000113,E07000090,E06000001,E06000050,E06000019
N09000007,Lisburn and Castlereagh,0,E06000050,E06000007,E07000113,E06000049,E06000024,E07000093,E07000110,E07000115,E06000051,E07000090
N09000008,Mid and East Antrim,0,E07000199,E06000004,E07000113,E06000001,E06000020,E07000118,E06000003,E06000051,E06000047,E07000114
N09000009,Mid Ulster,0,E07000218,E07000113,E07000119,E07000083,E06000013,E07000122,E07000118,E06000020,E06000006,E07000117
N09000010,"Newry, Mourne and Down",0,E07000113,E07000117,E06000006,E06000004,E06000020,E06000007,E07000114,E06000019,E06000001,E06000051
N09000011,Ards and North Down,0,E06000050,E06000007,E07000114,E06000049,E07000112,E06000006,E07000087,E06000051,E07000121,E06000024
S12000005,Clackmannanshire,2,E06000004,E06000026,E07000121,E06000047,E06000001,E06000006,E06000003,E06000046,E06000005,E07000090
S12000006,Dumfries and Galloway,0,E06000064,E06000057,E06000063,E07000035,E07000145,E06000059,E07000043,E07000108,E06000052,E06000019
S12000008,East Ayrshire,2,E06000001,E06000005,E07000034,E06000047,E07000033,E06000004,E07000036,E06000006,E07000032,E06000026
S12000010,East Lothian,0,E07000011,E07000113,E06000050,E06000052,E07000115,E07000114,E06000054,E06000025,E06000035,E06000022
S12000011,East Renfrewshire,1,E07000070,E07000110,E06000007,E07000109,E07000096,E07000099,E06000024,E07000105,E06000049,E09000016
S12000013,Na h-Eileanan Siar,0,E07000091,E07000112,E06000052,E06000019,E06000017,E07000087,E06000024,E07000114,E06000049,E06000054
S12000014,Falkirk,2,E06000004,E06000006,E07000121,E06000001,E06000003,E06000020,E06000005,E06000047,E07000108,E06000035
S12000017,Highland,0,E06000051,E06000059,E06000065,E06000019,E06000066,E06000057,E07000047,E07000046,E06000064,E07000141
S12000018,Inverclyde,2,E06000005,E07000034,E06000047,E06000001,E06000009,E06000006,E07000121,E06000027,E06000057,E06000012
S12000019,Midlothian,2,E06000035,E06000024,E07000118,E06000025,E07000110,E06000004,E07000114,E06000020,E08000036,E07000199
S12000020,Moray,0,E06000052,E06000051,E07000113,E06000011,E07000108,E06000046,E06000054,E06000026,E06000024,E07000121
S12000021,North Ayrshire,2,E06000001,E06000047,E07000033,E07000032,E06000006,E07000034,E07000038,E06000004,E07000171,E06000005
S12000026,Scottish Borders,0,E06000059,E06000065,E06000066,E07000047,E06000064,E07000043,E06000051,E06000063,E06000057,E06000019
S12000027,Shetland Islands,0,E07000046,E07000037,E07000009,E06000059,E07000144,E06000051,E07000139,E06000057,E06000065,E07000143
S12000028,South Ayrshire,0,E06000046,E06000057,E07000141,E07000032,E07000121,E07000063,E07000128,E06000027,E06000064,E07000034
S12000029,South Lanarkshire,2,E06000035,E06000006,E07000108,E06000007,E07000121,E07000113,E06000047,E06000001,E06000003,E07000118
S12000030,Stirling,0,E07000106,E07000071,E06000054,E07000063,E06000022,E06000066,E06000024,E06000058,E07000108,E06000050
S12000033,Aberdeen City,2,E06000026,E07000041,E06000005,E07000121,E06000023,E06000022,E08000035,E07000106,E06000058,E06000045
S12000034,Aberdeenshire,0,E06000052,E06000054,E07000085,E06000019,E06000051,E07000113,E06000049,E06000024,E07000093,E07000091
S12000035,Argyll and Bute,0,E06000052,E06000019,E06000046,E06000017,E07000112,E07000106,E07000114,E06000054,E06000024,E06000049
S12000036,City of Edinburgh,1,E07000148,E06000043,E06000014,E06000023,E07000078,E06000022,E06000058,E06000044,E06000045,E07000222
S12000038,Renfrewshire,2,E06000005,E06000003,E07000034,E07000108,E07000172,E06000001,E06000006,E07000173,E06000026,E07000033
S12000039,West Dunbartonshire,2,E06000003,E07000034,E06000006,E06000004,E06000001,E06000047,E06000009,E07000174,E06000026,E06000021
S12000040,West Lothian,2,E06000035,E06000006,E07000108,E06000026,E07000121,E06000020,E06000001,E07000105,E06000005,E07000113
S12000041,Angus,0,E06000052,E07000108,E06000046,E06000051,E06000011,E06000054,E07000113,E07000121,E06000024,E06000047
S12000042,Dundee City,2,E06000005,E06000045,E06000044,E06000026,E06000027,E06000001,E06000002,E06000003,E06000021,E07000121
S12000045,East Dunbartonshire,0,E06000024,E07000090,E07000087,E06000007,E07000194,E06000049,E07000069,E06000050,E07000070,E07000114
S12000047,Fife,2,E06000003,E07000108,E06000004,E06000001,E06000026,E06000047,E06000027,E06000006,E06000020,E07000121
S12000048,Perth and Kinross,0,E06000054,E06000019,E06000051,E07000108,E06000017,E06000046,E06000022,E07000106,E06000049,E06000011
S12000049,Glasgow City,2,E06000044,E06000009,E07000138,E06000002,E06000023,E06000021,E06000015,E06000005,E06000026,E06000033
S12000050,North Lanarkshire,2,E06000004,E06000006,E06000003,E06000047,E06000021,E06000013,E06000035,E07000117,E06000012,E06000026
W06000001,Isle of Anglesey,0,E07000108,E06000019,E06000051,E06000011,E06000054,E06000047,E06000046,E07000091,E06000027,E06000024
W06000002,Gwynedd,0,E06000051,E06000019,E07000108,E07000106,E07000121,E07000112,E06000054,E06000046,E06000027,E06000011
W06000003,Conwy,0,E07000034,E06000005,E06000046,E06000011,E06000052,E06000007,E06000024,E06000050,E06000051,E06000003
W06000004,Denbighshire,0,E07000114,E06000027,E06000052,E06000046,E06000019,E06000051,E06000050,E06000024,E06000011,E06000047
W06000005,Flintshire,0,E06000013,E06000004,E07000119,E06000006,E06000019,E06000020,E06000049,E06000047,E06000026,E06000024
W06000006,Wrexham,0,E06000047,E06000004,E06000006,E06000020,E06000001,E06000013,E06000026,E06000003,E06000019,E06000050
W06000008,Ceredigion,0,E06000046,E07000106,E06000051,E07000108,E06000019,E06000054,E06000027,E06000011,E06000005,E06000022
W06000009,Pembrokeshire,0,E07000114,E06000051,E06000046,E06000024,E06000019,E06000050,E06000027,E06000047,E06000011,E06000049
W06000010,Carmarthenshire,0,E06000047,E06000003,E06000046,E06000052,E06000005,E06000004,E06000001,E06000006,E06000011,E06000024
W06000011,Swansea,2,E07000034,E07000108,E06000006,E06000026,E06000027,E06000007,E06000003,E06000004,E07000121,E06000035
W06000012,Neath Port Talbot,2,E06000003,E06000026,E06000004,E06000047,E06000013,E06000006,E06000021,E06000010,E06000020,E06000012
W06000013,Bridgend,2,E07000036,E06000006,E06000003,E06000047,E06000020,E06000001,E06000004,E07000121,E07000108,E06000013
W06000014,Vale of Glamorgan,0,E06000058,E06000035,E06000007,E07000108,E06000050,E07000105,E06000054,E06000005,E07000114,E06000049
W06000015,Cardiff,2,E06000044,E06000023,E06000033,E07000123,E06000030,E07000041,E07000073,E07000130,E06000002,E06000038
W06000016,Rhondda Cynon Taf,2,E06000004,E06000001,E06000003,E06000006,E06000020,E07000108,E06000026,E06000013,E06000005,E06000021
W06000018,Caerphilly,2,E06000003,E06000013,E06000047,E06000004,E06000006,E06000020,E06000012,E06000026,E06000021,E06000005
W06000019,Blaenau Gwent,2,E06000003,E07000033,E06000001,E06000021,E07000125,E07000036,E06000013,E07000171,E06000012,E06000009
W06000020,Torfaen,2,E06000003,E06000013,E06000006,E06000001,E06000020,E06000026,E06000004,E06000012,E06000021,E06000009
W06000021,Monmouthshire,0,E07000091,E06000049,E07000085,E06000051,E06000052,E06000024,E06000011,E06000017,E06000054,E06000019
W06000022,Newport,2,E06000021,E06000061,E06000005,E06000004,E06000002,E07000117,E06000031,E06000015,E06000006,E06000035
W06000023,Powys,0,E06000051,E06000019,E06000046,E06000011,E07000108,E06000024,E06000054,E07000114,E07000106,E06000017
W06000024,Merthyr Tydfil,2,E06000001,E06000047,E06000021,E06000012,E06000009,E06000026,E06000006,E06000005,E06000020,E07000174
E07000223,Adur,1,E07000086,E06000054,E06000011,E07000085,E06000007,E06000035,E06000022,E06000050,E07000105,E06000005
E07000224,Arun,0,E06000052,E06000024,E06000054,E06000049,E07000091,E06000017,E07000087,E06000050,E06000011,E06000019
E07000225,Chichester,0,E07000085,E06000019,E06000052,E06000046,E07000105,E06000017,E06000051,E06000054,E06000050,E06000022
E07000226,Crawley,2,E07000073,E06000015,E06000034,E06000038,E06000031,E07000103,E06000045,E07000066,E06000036,E06000062
E07000227,Horsham,1,E07000110,E07000093,E07000085,E07000115,E06000054,E06000024,E07000089,E06000049,E07000094,E06000052
E07000228,Mid Sussex,1,E07000070,E07000093,E07000115,E07000096,E07000099,E07000085,E07000116,E06000024,E06000049,E07000087
E07000229,Worthing,1,E07000061,E07000108,E07000134,E06000045,E06000044,E06000058,E07000084,E06000030,E06000022,E07000062
E07000234,Bromsgrove,1,E07000085,E06000054,E06000060,E07000105,E06000050,E07000115,E06000007,E07000131,E07000093,E07000194
E07000235,Malvern Hills,0,E06000059,E06000019,E06000017,E07000091,E06000049,E06000052,E06000024,E07000087,E07000090,E07000119
E07000236,Redditch,2,E06000006,E07000117,E06000004,E07000120,E06000011,E07000108,E06000035,E07000086,E06000049,E07000105
E07000237,Worcester,2,E06000058,E07000078,E06000044,E06000026,E07000071,E07000106,E06000022,E07000108,E07000041,E06000045
E07000238,Wychavon,0,E07000085,E06000054,E07000131,E07000044,E06000049,E07000149,E07000083,E07000011,E06000066,E07000047
E07000239,Wyre Forest,0,E06000051,E06000019,E06000052,E07000114,E06000046,E06000050,E06000011,E06000049,E06000024,E07000195
E07000240,St Albans,1,E06000060,E06000040,E07000099,E07000115,E07000116,E07000110,E07000089,E06000041,E07000094,E07000109
E07000241,Welwyn Hatfield,1,E07000096,E07000110,E07000099,E06000034,E07000115,E07000105,E07000093,E07000086,E06000055,E06000025
E07000242,East Hertfordshire,1,E06000060,E07000099,E07000085,E06000056,E07000115,E06000054,E07000084,E07000105,E07000075,E07000089
E07000243,Stevenage,1,E07000095,E06000033,E06000007,E07000109,E06000025,E07000086,E07000099,E06000034,E07000107,E07000081
E07000244,East Suffolk,0,E06000059,E06000065,E07000112,E06000066,E06000019,E07000087,E06000052,E07000047,E06000017,E07000046
E07000245,West Suffolk,0,E06000058,E06000049,E07000011,E06000066,E07000071,E07000105,E07000085,E07000132,E06000050,E07000093
E08000001,Bolton,2,E07000123,E06000008,E06000004,E06000021,E06000015,E06000001,E06000020,E06000002,E06000006,E08000035
E08000002,Bury,2,E06000007,E06000004,E07000109,E06000035,E07000129,E06000062,E07000135,E07000034,E07000132,E06000005
E08000003,Manchester,3,E06000045,E06000016,E07000103,E06000032,E06000015,E06000002,E06000038,E06000031,E08000035,E06000023
E08000004,Oldham,2,E06000021,E07000117,E06000002,E06000015,E07000120,E06000004,E08000036,E06000031,E06000001,E07000123
E08000005,Rochdale,2,E06000021,E07000117,E06000001,E06000004,E07000123,E06000020,E06000002,E06000003,E06000015,E06000047
E08000006,Salford,2,E06000045,E06000002,E06000030,E07000123,E06000055,E06000021,E07000073,E06000015,E06000006,E06000020
E08000007,Stockport,1,E06000035,E07000086,E06000033,E06000006,E07000109,E07000105,E07000108,E06000050,E06000004,E06000005
E08000008,Tameside,2,E06000020,E06000004,E07000117,E07000174,E06000021,E06000001,E06000026,E07000036,E06000047,E07000033
E08000009,Trafford,1,E06000058,E06000060,E07000109,E06000050,E06000036,E07000086,E07000096,E07000084,E06000049,E07000071
E08000010,Wigan,2,E06000006,E07000126,E06000007,E06000001,E07000036,E06000047,E07000127,E07000173,E07000171,E07000032
E08000011,Knowsley,2,E06000006,E06000001,E06000003,E06000021,E07000117,E06000005,E06000020,E06000047,E07000033,E07000120
E08000012,Liverpool,2,E06000009,E06000021,E07000123,E06000045,E06000015,E07000174,E06000005,E06000044,E06000006,E06000026
E08000013,St. Helens,2,E06000005,E06000006,E06000003,E06000007,E06000001,E07000118,E07000034,E06000047,E07000108,E07000033
E08000014,Sefton,0,E06000050,E07000034,E06000058,E06000006,E06000005,E07000127,E07000141,E06000057,E06000024,E07000194
E08000015,Wirral,2,E06000004,E06000006,E06000007,E07000034,E07000108,E06000003,E06000035,E06000050,E06000058,E07000173
E08000016,Barnsley,2,E06000001,E06000047,E06000004,E06000020,E06000006,E07000033,E07000171,E07000036,E07000032,E06000005
E08000017,Doncaster,2,E06000006,E06000009,E06000001,E06000005,E06000047,E06000021,E06000004,E06000026,E07000036,E07000174
E08000018,Rotherham,2,E06000001,E06000006,E06000003,E06000047,E06000021,E07000171,E07000172,E07000036,E07000038,E07000117
E08000019,Sheffield,2,E07000123,E07000034,E06000045,E06000026,E06000035,E06000044,E07000106,E06000058,E07000130,E06000004
E08000021,Newcastle upon Tyne,2,E06000045,E07000123,E06000005,E06000044,E06000030,E06000026,E07000034,E07000117,E06000058,E07000130
E08000022,North Tyneside,2,E06000026,E06000005,E06000004,E06000003,E07000034,E06000001,E06000007,E06000058,E06000020,E06000030
E08000023,South Tyneside,2,E06000001,E06000004,E06000021,E06000047,E06000002,E06000006,E06000005,E07000172,E07000174,E06000009
E08000024,Sunderland,2,E06000001,E06000021,E06000004,E06000006,E06000047,E06000005,E06000009,E06000013,E06000026,E07000117
E08000025,Birmingham,3,E06000032,E06000018,E06000002,E06000015,E06000008,E07000123,E06000039,E06000021,E06000031,E06000045
E08000026,Coventry,2,E07000123,E06000002,E06000045,E07000117,E06000032,E06000031,E07000073,E06000021,E06000044,E06000020
E08000027,Dudley,2,E06000006,E07000117,E07000034,E07000135,E06000026,E07000171,E06000020,E06000007,E06000035,E07000132
E08000028,Sandwell,2,E06000015,E06000032,E07000117,E06000021,E06000016,E07000123,E06000002,E06000020,E07000174,E09000002
E08000029,Solihull,1,E06000007,E06000036,E06000050,E06000060,E07000115,E07000109,E06000025,E07000093,E06000037,E07000099
E08000030,Walsall,2,E06000015,E07000117,E06000008,E06000002,E06000020,E06000004,E08000036,E07000123,E08000035,E06000001
E08000031,Wolverhampton,2,E06000032,E06000021,E07000123,E06000016,E06000008,E06000018,E06000002,E08000035,E07000117,E07000135
E08000032,Bradford,2,E06000015,E07000117,E07000123,E06000002,E06000021,E06000016,E08000035,E07000120,E07000135,E06000032
E08000033,Calderdale,2,E06000004,E06000035,E07000108,E07000130,E06000047,E07000033,E06000006,E07000171,E07000034,E06000061
E08000034,Kirklees,2,E06000004,E07000120,E06000015,E07000135,E06000021,E06000061,E06000001,E06000006,E06000008,E06000047