areacd,level
K02000001,other
K03000001,other
K04000001,other
E92000001,country
N92000002,country
S92000003,country
W92000004,country
N92000002,region
S92000003,region
W92000004,region
E12000001,region
E12000002,region
E12000003,region
E12000004,region
E12000005,region
E12000006,region
E12000007,region
E12000008,region
E12000009,region
E10000003,upper
E10000006,upper
E10000007,upper
E10000008,upper
E10000011,upper
E10000012,upper
E10000013,upper
E10000014,upper
E10000015,upper
E10000016,upper
E10000017,upper
E10000018,upper
E10000019,upper
E10000020,upper
E10000023,upper
E10000024,upper
E10000025,upper
E10000027,upper
E10000028,upper
E10000029,upper
E10000030,upper
E10000031,upper
E10000032,upper
E10000034,upper
E06000001,upper
E06000002,upper
E06000003,upper
E06000004,upper
E06000005,upper
E06000006,upper
E06000007,upper
E06000008,upper
E06000009,upper
E06000010,upper
E06000011,upper
E06000012,upper
E06000013,upper
E06000014,upper
E06000015,upper
E06000016,upper
E06000017,upper
E06000018,upper
E06000019,upper
E06000020,upper
E06000021,upper
E06000022,upper
E06000023,upper
E06000024,upper
E06000025,upper
E06000026,upper
E06000027,upper
E06000030,upper
E06000031,upper
E06000032,upper
E06000033,upper
E06000034,upper
E06000035,upper
E06000036,upper
E06000037,upper
E06000038,upper
E06000039,upper
E06000040,upper
E06000041,upper
E06000042,upper
E06000043,upper
E06000044,upper
E06000045,upper
E06000046,upper
E06000047,upper
E06000049,upper
E06000050,upper
E06000051,upper
E06000052,upper
E06000053,upper
E06000054,upper
E06000055,upper
E06000056,upper
E06000057,upper
E06000058,upper
E06000059,upper
E06000060,upper
E06000061,upper
E06000062,upper
E07000008,lower
E07000009,lower
E07000010,lower
E07000011,lower
E07000012,lower
E07000026,lower
E07000027,lower
E07000028,lower
E07000029,lower
E07000030,lower
E07000031,lower
E07000032,lower
E07000033,lower
E07000034,lower
E07000035,lower
E07000036,lower
E07000037,lower
E07000038,lower
E07000039,lower
E07000040,lower
E07000041,lower
E07000042,lower
E07000043,lower
E07000044,lower
E07000045,lower
E07000046,lower
E07000047,lower
E07000061,lower
E07000062,lower
E07000063,lower
E07000064,lower
E07000065,lower
E07000066,lower
E07000067,lower
E07000068,lower
E07000069,lower
E07000070,lower
E07000071,lower
E07000072,lower
E07000073,lower
E07000074,lower
E07000075,lower
E07000076,lower
E07000077,lower
E07000078,lower
E07000079,lower
E07000080,lower
E07000081,lower
E07000082,lower
E07000083,lower
E07000084,lower
E07000085,lower
E07000086,lower
E07000087,lower
E07000088,lower
E07000089,lower
E07000090,lower
E07000091,lower
E07000092,lower
E07000093,lower
E07000094,lower
E07000095,lower
E07000096,lower
E07000098,lower
E07000099,lower
E07000102,lower
E07000103,lower
E07000105,lower
E07000106,lower
E07000107,lower
E07000108,lower
E07000109,lower
E07000110,lower
E07000111,lower
E07000112,lower
E07000113,lower
E07000114,lower
E07000115,lower
E07000116,lower
E07000117,lower
E07000118,lower
E07000119,lower
E07000120,lower
E07000121,lower
E07000122,lower
E07000123,lower
E07000124,lower
E07000125,lower
E07000126,lower
E07000127,lower
E07000128,lower
E07000129,lower
E07000130,lower
E07000131,lower
E07000132,lower
E07000133,lower
E07000134,lower
E07000135,lower
E07000136,lower
E07000137,lower
E07000138,lower
E07000139,lower
E07000140,lower
E07000141,lower
E07000142,lower
E07000143,lower
E07000144,lower
E07000145,lower
E07000146,lower
E07000147,lower
E07000148,lower
E07000149,lower
E07000163,lower
E07000164,lower
E07000165,lower
E07000166,lower
E07000167,lower
E07000168,lower
E07000169,lower
E07000170,lower
E07000171,lower
E07000172,lower
E07000173,lower
E07000174,lower
E07000175,lower
E07000176,lower
E07000177,lower
E07000178,lower
E07000179,lower
E07000180,lower
E07000181,lower
E07000187,lower
E07000188,lower
E07000189,lower
E07000192,lower
E07000193,lower
E07000194,lower
E07000195,lower
E07000196,lower
E07000197,lower
E07000198,lower
E07000199,lower
E07000200,lower
E07000202,lower
E07000203,lower
E07000207,lower
E07000208,lower
E07000209,lower
E07000210,lower
E07000211,lower
E07000212,lower
E07000213,lower
E07000214,lower
E07000215,lower
E07000216,lower
E07000217,lower
E07000218,lower
E07000219,lower
E07000220,lower
E07000221,lower
E07000222,lower
E07000223,lower
E07000224,lower
E07000225,lower
E07000226,lower
E07000227,lower
E07000228,lower
E07000229,lower
E07000234,lower
E07000235,lower
E07000236,lower
E07000237,lower
E07000238,lower
E07000239,lower
E07000240,lower
E07000241,lower
E07000242,lower
E07000243,lower
E07000244,lower
E07000245,lower
E07000246,lower
E08000001,upper
E08000002,upper
E08000003,upper
E08000004,upper
E08000005,upper
E08000006,upper
E08000007,upper
E08000008,upper
E08000009,upper
E08000010,upper
E08000011,upper
E08000012,upper
E08000013,upper
E08000014,upper
E08000015,upper
E08000016,upper
E08000017,upper
E08000018,upper
E08000019,upper
E08000021,upper
E08000022,upper
E08000023,upper
E08000024,upper
E08000025,upper
E08000026,upper
E08000027,upper
E08000028,upper
E08000029,upper
E08000030,upper
E08000031,upper
E08000032,upper
E08000033,upper
E08000034,upper
E08000035,upper
E08000036,upper
E08000037,upper
E09000001,upper
E09000002,upper
E09000003,upper
E09000004,upper
E09000005,upper
E09000006,upper
E09000007,upper
E09000008,upper
E09000009,upper
E09000010,upper
E09000011,upper
E09000012,upper
E09000013,upper
E09000014,upper
E09000015,upper
E09000016,upper
E09000017,upper
E09000018,upper
E09000019,upper
E09000020,upper
E09000021,upper
E09000022,upper
E09000023,upper
E09000024,upper
E09000025,upper
E09000026,upper
E09000027,upper
E09000028,upper
E09000029,upper
E09000030,upper
E09000031,upper
E09000032,upper
E09000033,upper
N09000001,upper
N09000002,upper
N09000003,upper
N09000004,upper
N09000005,upper
N09000006,upper
N09000007,upper
N09000008,upper
N09000009,upper
N09000010,upper
N09000011,upper
S12000005,upper
S12000006,upper
S12000008,upper
S12000010,upper
S12000011,upper
S12000013,upper
S12000014,upper
S12000017,upper
S12000018,upper
S12000019,upper
S12000020,upper
S12000021,upper
S12000023,upper
S12000026,upper
S12000027,upper
S12000028,upper
S12000029,upper
S12000030,upper
S12000033,upper
S12000034,upper
S12000035,upper
S12000036,upper
S12000038,upper
S12000039,upper
S12000040,upper
S12000041,upper
S12000042,upper
S12000045,upper
S12000047,upper
S12000048,upper
S12000049,upper
S12000050,upper
W06000001,upper
W06000002,upper
W06000003,upper
W06000004,upper
W06000005,upper
W06000006,upper
W06000008,upper
W06000009,upper
W06000010,upper
W06000011,upper
W06000012,upper
W06000013,upper
W06000014,upper
W06000015,upper
W06000016,upper
W06000018,upper
W06000019,upper
W06000020,upper
W06000021,upper
W06000022,upper
W06000023,upper
W06000024,upper
E06000001,lower
E06000002,lower
E06000003,lower
E06000004,lower
E06000005,lower
E06000006,lower
E06000007,lower
E06000008,lower
E06000009,lower
E06000010,lower
E06000011,lower
E06000012,lower
E06000013,lower
E06000014,lower
E06000015,lower
E06000016,lower
E06000017,lower
E06000018,lower
E06000019,lower
E06000020,lower
E06000021,lower
E06000022,lower
E06000023,lower
E06000024,lower
E06000025,lower
E06000026,lower
E06000027,lower
E06000030,lower
E06000031,lower
E06000032,lower
E06000033,lower
E06000034,lower
E06000035,lower
E06000036,lower
E06000037,lower
E06000038,lower
E06000039,lower
E06000040,lower
E06000041,lower
E06000042,lower
E06000043,lower
E06000044,lower
E06000045,lower
E06000046,lower
E06000047,lower
E06000049,lower
E06000050,lower
E06000051,lower
E06000052,lower
E06000053,lower
E06000054,lower
E06000055,lower
E06000056,lower
E06000057,lower
E06000058,lower
E06000059,lower
E06000060,lower
E06000061,lower
E06000062,lower
E08000001,lower
E08000002,lower
E08000003,lower
E08000004,lower
E08000005,lower
E08000006,lower
E08000007,lower
E08000008,lower
E08000009,lower
E08000010,lower
E08000011,lower
E08000012,lower
E08000013,lower
E08000014,lower
E08000015,lower
E08000016,lower
E08000017,lower
E08000018,lower
E08000019,lower
E08000021,lower
E08000022,lower
E08000023,lower
E08000024,lower
E08000025,lower
E08000026,lower
E08000027,lower
E08000028,lower
E08000029,lower
E08000030,lower
E08000031,lower
E08000032,lower
E08000033,lower
E08000034,lower
E08000035,lower
E08000036,lower
E08000037,lower
E09000001,lower
E09000002,lower
E09000003,lower
E09000004,lower
E09000005,lower
E09000006,lower
E09000007,lower
E09000008,lower
E09000009,lower
E09000010,lower
E09000011,lower
E09000012,lower
E09000013,lower
E09000014,lower
E09000015,lower
E09000016,lower
E09000017,lower
E09000018,lower
E09000019,lower
E09000020,lower
E09000021,lower
E09000022,lower
E09000023,lower
E09000024,lower
E09000025,lower
E09000026,lower
E09000027,lower
E09000028,lower
E09000029,lower
E09000030,lower
E09000031,lower
E09000032,lower
E09000033,lower
N09000001,lower
N09000002,lower
N09000003,lower
N09000004,lower
N09000005,lower
N09000006,lower
N09000007,lower
N09000008,lower
N09000009,lower
N09000010,lower
N09000011,lower
S12000005,lower
S12000006,lower
S12000008,lower
S12000010,lower
S12000011,lower
S12000013,lower
S12000014,lower
S12000017,lower
S12000018,lower
S12000019,lower
S12000020,lower
S12000021,lower
S12000023,lower
S12000026,lower
S12000027,lower
S12000028,lower
S12000029,lower
S12000030,lower
S12000033,lower
S12000034,lower
S12000035,lower
S12000036,lower
S12000038,lower
S12000039,lower
S12000040,lower
S12000041,lower
S12000042,lower
S12000045,lower
S12000047,lower
S12000048,lower
S12000049,lower
S12000050,lower
W06000001,lower
W06000002,lower
W06000003,lower
W06000004,lower
W06000005,lower
W06000006,lower
W06000008,lower
W06000009,lower
W06000010,lower
W06000011,lower
W06000012,lower
W06000013,lower
W06000014,lower
W06000015,lower
W06000016,lower
W06000018,lower
W06000019,lower
W06000020,lower
W06000021,lower
W06000022,lower
W06000023,lower
W06000024,lower