areacd,parentcd,countrycd,parentnm,countrynm
K02000001,,,,
K03000001,,,,
K04000001,,,,
E92000001,K02000001,,United Kingdom,
N92000002,K02000001,,United Kingdom,
S92000003,K02000001,,United Kingdom,
W92000004,K02000001,,United Kingdom,
E12000001,E92000001,E92000001,England,England
E12000002,E92000001,E92000001,England,England
E12000003,E92000001,E92000001,England,England
E12000004,E92000001,E92000001,England,England
E12000005,E92000001,E92000001,England,England
E12000006,E92000001,E92000001,England,England
E12000007,E92000001,E92000001,England,England
E12000008,E92000001,E92000001,England,England
E12000009,E92000001,E92000001,England,England
E10000003,E12000006,E92000001,East of England,England
E10000006,E12000002,E92000001,North West,England
E10000007,E12000004,E92000001,East Midlands,England
E10000008,E12000009,E92000001,South West,England
E10000011,E12000008,E92000001,South East,England
E10000012,E12000006,E92000001,East of England,England
E10000013,E12000009,E92000001,South West,England
E10000014,E12000008,E92000001,South East,England
E10000015,E12000006,E92000001,East of England,England
E10000016,E12000008,E92000001,South East,England
E10000017,E12000002,E92000001,North West,England
E10000018,E12000004,E92000001,East Midlands,England
E10000019,E12000004,E92000001,East Midlands,England
E10000020,E12000006,E92000001,East of England,England
E10000023,E12000003,E92000001,Yorkshire and The Humber,England
E10000024,E12000004,E92000001,East Midlands,England
E10000025,E12000008,E92000001,South East,England
E10000027,E12000009,E92000001,South West,England
E10000028,E12000005,E92000001,West Midlands,England
E10000029,E12000006,E92000001,East of England,England
E10000030,E12000008,E92000001,South East,England
E10000031,E12000005,E92000001,West Midlands,England
E10000032,E12000008,E92000001,South East,England
E10000034,E12000005,E92000001,West Midlands,England
E06000001,E12000001,E92000001,North East,England
E06000002,E12000001,E92000001,North East,England
E06000003,E12000001,E92000001,North East,England
E06000004,E12000001,E92000001,North East,England
E06000005,E12000001,E92000001,North East,England
E06000006,E12000002,E92000001,North West,England
E06000007,E12000002,E92000001,North West,England
E06000008,E12000002,E92000001,North West,England
E06000009,E12000002,E92000001,North West,England
E06000010,E12000003,E92000001,Yorkshire and The Humber,England
E06000011,E12000003,E92000001,Yorkshire and The Humber,England
E06000012,E12000003,E92000001,Yorkshire and The Humber,England
E06000013,E12000003,E92000001,Yorkshire and The Humber,England
E06000014,E12000003,E92000001,Yorkshire and The Humber,England
E06000015,E12000004,E92000001,East Midlands,England
E06000016,E12000004,E92000001,East Midlands,England
E06000017,E12000004,E92000001,East Midlands,England
E06000018,E12000004,E92000001,East Midlands,England
E06000019,E12000005,E92000001,West Midlands,England
E06000020,E12000005,E92000001,West Midlands,England
E06000021,E12000005,E92000001,West Midlands,England
E06000022,E12000009,E92000001,South West,England
E06000023,E12000009,E92000001,South West,England
E06000024,E12000009,E92000001,South West,England
E06000025,E12000009,E92000001,South West,England
E06000026,E12000009,E92000001,South West,England
E06000027,E12000009,E92000001,South West,England
E06000030,E12000009,E92000001,South West,England
E06000031,E12000006,E92000001,East of England,England
E06000032,E12000006,E92000001,East of England,England
E06000033,E12000006,E92000001,East of England,England
E06000034,E12000006,E92000001,East of England,England
E06000035,E12000008,E92000001,South East,England
E06000036,E12000008,E92000001,South East,England
E06000037,E12000008,E92000001,South East,England
E06000038,E12000008,E92000001,South East,England
E06000039,E12000008,E92000001,South East,England
E06000040,E12000008,E92000001,South East,England
E06000041,E12000008,E92000001,South East,England
E06000042,E12000008,E92000001,South East,England
E06000043,E12000008,E92000001,South East,England
E06000044,E12000008,E92000001,South East,England
E06000045,E12000008,E92000001,South East,England
E06000046,E12000008,E92000001,South East,England
E06000047,E12000001,E92000001,North East,England
E06000049,E12000002,E92000001,North West,England
E06000050,E12000002,E92000001,North West,England
E06000051,E12000005,E92000001,West Midlands,England
E06000052,E12000009,E92000001,South West,England
E06000053,E12000009,E92000001,South West,England
E06000054,E12000009,E92000001,South West,England
E06000055,E12000006,E92000001,East of England,England
E06000056,E12000006,E92000001,East of England,England
E06000057,E12000001,E92000001,North East,England
E06000058,E12000009,E92000001,South West,England
E06000059,E12000009,E92000001,South West,England
E06000060,E12000008,E92000001,South East,England
E06000061,E12000004,E92000001,East Midlands,England
E06000062,E12000004,E92000001,East Midlands,England
E07000008,E12000006,E92000001,East of England,England
E07000009,E12000006,E92000001,East of England,England
E07000010,E12000006,E92000001,East of England,England
E07000011,E12000006,E92000001,East of England,England
E07000012,E12000006,E92000001,East of England,England
E07000026,E12000002,E92000001,North West,England
E07000027,E12000002,E92000001,North West,England
E07000028,E12000002,E92000001,North West,England
E07000029,E12000002,E92000001,North West,England
E07000030,E12000002,E92000001,North West,England
E07000031,E12000002,E92000001,North West,England
E07000032,E12000004,E92000001,East Midlands,England
E07000033,E12000004,E92000001,East Midlands,England
E07000034,E12000004,E92000001,East Midlands,England
E07000035,E12000004,E92000001,East Midlands,England
E07000036,E12000004,E92000001,East Midlands,England
E07000037,E12000004,E92000001,East Midlands,England
E07000038,E12000004,E92000001,East Midlands,England
E07000039,E12000004,E92000001,East Midlands,England
E07000040,E12000009,E92000001,South West,England
E07000041,E12000009,E92000001,South West,England
E07000042,E12000009,E92000001,South West,England
E07000043,E12000009,E92000001,South West,England
E07000044,E12000009,E92000001,South West,England
E07000045,E12000009,E92000001,South West,England
E07000046,E12000009,E92000001,South West,England
E07000047,E12000009,E92000001,South West,England
E07000061,E12000008,E92000001,South East,England
E07000062,E12000008,E92000001,South East,England
E07000063,E12000008,E92000001,South East,England
E07000064,E12000008,E92000001,South East,England
E07000065,E12000008,E92000001,South East,England
E07000066,E12000006,E92000001,East of England,England
E07000067,E12000006,E92000001,East of England,England
E07000068,E12000006,E92000001,East of England,England
E07000069,E12000006,E92000001,East of England,England
E07000070,E12000006,E92000001,East of England,England
E07000071,E12000006,E92000001,East of England,England
E07000072,E12000006,E92000001,East of England,England
E07000073,E12000006,E92000001,East of England,England
E07000074,E12000006,E92000001,East of England,England
E07000075,E12000006,E92000001,East of England,England
E07000076,E12000006,E92000001,East of England,England
E07000077,E12000006,E92000001,East of England,England
E07000078,E12000009,E92000001,South West,England
E07000079,E12000009,E92000001,South West,England
E07000080,E12000009,E92000001,South West,England
E07000081,E12000009,E92000001,South West,England
E07000082,E12000009,E92000001,South West,England
E07000083,E12000009,E92000001,South West,England
E07000084,E12000008,E92000001,South East,England
E07000085,E12000008,E92000001,South East,England
E07000086,E12000008,E92000001,South East,England
E07000087,E12000008,E92000001,South East,England
E07000088,E12000008,E92000001,South East,England
E07000089,E12000008,E92000001,South East,England
E07000090,E12000008,E92000001,South East,England
E07000091,E12000008,E92000001,South East,England
E07000092,E12000008,E92000001,South East,England
E07000093,E12000008,E92000001,South East,England
E07000094,E12000008,E92000001,South East,England
E07000095,E12000006,E92000001,East of England,England
E07000096,E12000006,E92000001,East of England,England
E07000098,E12000006,E92000001,East of England,England
E07000099,E12000006,E92000001,East of England,England
E07000102,E12000006,E92000001,East of England,England
E07000103,E12000006,E92000001,East of England,England
E07000105,E12000008,E92000001,South East,England
E07000106,E12000008,E92000001,South East,England
E07000107,E12000008,E92000001,South East,England
E07000108,E12000008,E92000001,South East,England
E07000109,E12000008,E92000001,South East,England
E07000110,E12000008,E92000001,South East,England
E07000111,E12000008,E92000001,South East,England
E07000112,E12000008,E92000001,South East,England
E07000113,E12000008,E92000001,South East,England
E07000114,E12000008,E92000001,South East,England
E07000115,E12000008,E92000001,South East,England
E07000116,E12000008,E92000001,South East,England
E07000117,E12000002,E92000001,North West,England
E07000118,E12000002,E92000001,North West,England
E07000119,E12000002,E92000001,North West,England
E07000120,E12000002,E92000001,North West,England
E07000121,E12000002,E92000001,North West,England
E07000122,E12000002,E92000001,North West,England
E07000123,E12000002,E92000001,North West,England
E07000124,E12000002,E92000001,North West,England
E07000125,E12000002,E92000001,North West,England
E07000126,E12000002,E92000001,North West,England
E07000127,E12000002,E92000001,North West,England
E07000128,E12000002,E92000001,North West,England
E07000129,E12000004,E92000001,East Midlands,England
E07000130,E12000004,E92000001,East Midlands,England
E07000131,E12000004,E92000001,East Midlands,England
E07000132,E12000004,E92000001,East Midlands,England
E07000133,E12000004,E92000001,East Midlands,England
E07000134,E12000004,E92000001,East Midlands,England
E07000135,E12000004,E92000001,East Midlands,England
E07000136,E12000004,E92000001,East Midlands,England
E07000137,E12000004,E92000001,East Midlands,England
E07000138,E12000004,E92000001,East Midlands,England
E07000139,E12000004,E92000001,East Midlands,England
E07000140,E12000004,E92000001,East Midlands,England
E07000141,E12000004,E92000001,East Midlands,England
E07000142,E12000004,E92000001,East Midlands,England
E07000143,E12000006,E92000001,East of England,England
E07000144,E12000006,E92000001,East of England,England
E07000145,E12000006,E92000001,East of England,England
E07000146,E12000006,E92000001,East of England,England
E07000147,E12000006,E92000001,East of England,England
E07000148,E12000006,E92000001,East of England,England
E07000149,E12000006,E92000001,East of England,England
E07000163,E12000003,E92000001,Yorkshire and The Humber,England
E07000164,E12000003,E92000001,Yorkshire and The Humber,England
E07000165,E12000003,E92000001,Yorkshire and The Humber,England
E07000166,E12000003,E92000001,Yorkshire and The Humber,England
E07000167,E12000003,E92000001,Yorkshire and The Humber,England
E07000168,E12000003,E92000001,Yorkshire and The Humber,England
E07000169,E12000003,E92000001,Yorkshire and The Humber,England
E07000170,E12000004,E92000001,East Midlands,England
E07000171,E12000004,E92000001,East Midlands,England
E07000172,E12000004,E92000001,East Midlands,England
E07000173,E12000004,E92000001,East Midlands,England
E07000174,E12000004,E92000001,East Midlands,England
E07000175,E12000004,E92000001,East Midlands,England
E07000176,E12000004,E92000001,East Midlands,England
E07000177,E12000008,E92000001,South East,England
E07000178,E12000008,E92000001,South East,England
E07000179,E12000008,E92000001,South East,England
E07000180,E12000008,E92000001,South East,England
E07000181,E12000008,E92000001,South East,England
E07000187,E12000009,E92000001,South West,England
E07000188,E12000009,E92000001,South West,England
E07000189,E12000009,E92000001,South West,England
E07000192,E12000005,E92000001,West Midlands,England
E07000193,E12000005,E92000001,West Midlands,England
E07000194,E12000005,E92000001,West Midlands,England
E07000195,E12000005,E92000001,West Midlands,England
E07000196,E12000005,E92000001,West Midlands,England
E07000197,E12000005,E92000001,West Midlands,England
E07000198,E12000005,E92000001,West Midlands,England
E07000199,E12000005,E92000001,West Midlands,England
E07000200,E12000006,E92000001,East of England,England
E07000202,E12000006,E92000001,East of England,England
E07000203,E12000006,E92000001,East of England,England
E07000207,E12000008,E92000001,South East,England
E07000208,E12000008,E92000001,South East,England
E07000209,E12000008,E92000001,South East,England
E07000210,E12000008,E92000001,South East,England
E07000211,E12000008,E92000001,South East,England
E07000212,E12000008,E92000001,South East,England
E07000213,E12000008,E92000001,South East,England
E07000214,E12000008,E92000001,South East,England
E07000215,E12000008,E92000001,South East,England
E07000216,E12000008,E92000001,South East,England
E07000217,E12000008,E92000001,South East,England
E07000218,E12000005,E92000001,West Midlands,England
E07000219,E12000005,E92000001,West Midlands,England
E07000220,E12000005,E92000001,West Midlands,England
E07000221,E12000005,E92000001,West Midlands,England
E07000222,E12000005,E92000001,West Midlands,England
E07000223,E12000008,E92000001,South East,England
E07000224,E12000008,E92000001,South East,England
E07000225,E12000008,E92000001,South East,England
E07000226,E12000008,E92000001,South East,England
E07000227,E12000008,E92000001,South East,England
E07000228,E12000008,E92000001,South East,England
E07000229,E12000008,E92000001,South East,England
E07000234,E12000005,E92000001,West Midlands,England
E07000235,E12000005,E92000001,West Midlands,England
E07000236,E12000005,E92000001,West Midlands,England
E07000237,E12000005,E92000001,West Midlands,England
E07000238,E12000005,E92000001,West Midlands,England
E07000239,E12000005,E92000001,West Midlands,England
E07000240,E12000006,E92000001,East of England,England
E07000241,E12000006,E92000001,East of England,England
E07000242,E12000006,E92000001,East of England,England
E07000243,E12000006,E92000001,East of England,England
E07000244,E12000006,E92000001,East of England,England
E07000245,E12000006,E92000001,East of England,England
E07000246,E12000009,E92000001,South West,England
E08000001,E12000002,E92000001,North West,England
E08000002,E12000002,E92000001,North West,England
E08000003,E12000002,E92000001,North West,England
E08000004,E12000002,E92000001,North West,England
E08000005,E12000002,E92000001,North West,England
E08000006,E12000002,E92000001,North West,England
E08000007,E12000002,E92000001,North West,England
E08000008,E12000002,E92000001,North West,England
E08000009,E12000002,E92000001,North West,England
E08000010,E12000002,E92000001,North West,England
E08000011,E12000002,E92000001,North West,England
E08000012,E12000002,E92000001,North West,England
E08000013,E12000002,E92000001,North West,England
E08000014,E12000002,E92000001,North West,England
E08000015,E12000002,E92000001,North West,England
E08000016,E12000003,E92000001,Yorkshire and The Humber,England
E08000017,E12000003,E92000001,Yorkshire and The Humber,England
E08000018,E12000003,E92000001,Yorkshire and The Humber,England
E08000019,E12000003,E92000001,Yorkshire and The Humber,England
E08000021,E12000001,E92000001,North East,England
E08000022,E12000001,E92000001,North East,England
E08000023,E12000001,E92000001,North East,England
E08000024,E12000001,E92000001,North East,England
E08000025,E12000005,E92000001,West Midlands,England
E08000026,E12000005,E92000001,West Midlands,England
E08000027,E12000005,E92000001,West Midlands,England
E08000028,E12000005,E92000001,West Midlands,England
E08000029,E12000005,E92000001,West Midlands,England
E08000030,E12000005,E92000001,West Midlands,England
E08000031,E12000005,E92000001,West Midlands,England
E08000032,E12000003,E92000001,Yorkshire and The Humber,England
E08000033,E12000003,E92000001,Yorkshire and The Humber,England
E08000034,E12000003,E92000001,Yorkshire and The Humber,England
E08000035,E12000003,E92000001,Yorkshire and The Humber,England
E08000036,E12000003,E92000001,Yorkshire and The Humber,England
E08000037,E12000001,E92000001,North East,England
E09000001,E12000007,E92000001,London,England
E09000002,E12000007,E92000001,London,England
E09000003,E12000007,E92000001,London,England
E09000004,E12000007,E92000001,London,England
E09000005,E12000007,E92000001,London,England
E09000006,E12000007,E92000001,London,England
E09000007,E12000007,E92000001,London,England
E09000008,E12000007,E92000001,London,England
E09000009,E12000007,E92000001,London,England
E09000010,E12000007,E92000001,London,England
E09000011,E12000007,E92000001,London,England
E09000012,E12000007,E92000001,London,England
E09000013,E12000007,E92000001,London,England
E09000014,E12000007,E92000001,London,England
E09000015,E12000007,E92000001,London,England
E09000016,E12000007,E92000001,London,England
E09000017,E12000007,E92000001,London,England
E09000018,E12000007,E92000001,London,England
E09000019,E12000007,E92000001,London,England
E09000020,E12000007,E92000001,London,England
E09000021,E12000007,E92000001,London,England
E09000022,E12000007,E92000001,London,England
E09000023,E12000007,E92000001,London,England
E09000024,E12000007,E92000001,London,England
E09000025,E12000007,E92000001,London,England
E09000026,E12000007,E92000001,London,England
E09000027,E12000007,E92000001,London,England
E09000028,E12000007,E92000001,London,England
E09000029,E12000007,E92000001,London,England
E09000030,E12000007,E92000001,London,England
E09000031,E12000007,E92000001,London,England
E09000032,E12000007,E92000001,London,England
E09000033,E12000007,E92000001,London,England
N09000001,N92000002,N92000002,Northern Ireland,Northern Ireland
N09000002,N92000002,N92000002,Northern Ireland,Northern Ireland
N09000003,N92000002,N92000002,Northern Ireland,Northern Ireland
N09000004,N92000002,N92000002,Northern Ireland,Northern Ireland
N09000005,N92000002,N92000002,Northern Ireland,Northern Ireland
N09000006,N92000002,N92000002,Northern Ireland,Northern Ireland
N09000007,N92000002,N92000002,Northern Ireland,Northern Ireland
N09000008,N92000002,N92000002,Northern Ireland,Northern Ireland
N09000009,N92000002,N92000002,Northern Ireland,Northern Ireland
N09000010,N92000002,N92000002,Northern Ireland,Northern Ireland
N09000011,N92000002,N92000002,Northern Ireland,Northern Ireland
S12000005,S92000003,S92000003,Scotland,Scotland
S12000006,S92000003,S92000003,Scotland,Scotland
S12000008,S92000003,S92000003,Scotland,Scotland
S12000010,S92000003,S92000003,Scotland,Scotland
S12000011,S92000003,S92000003,Scotland,Scotland
S12000013,S92000003,S92000003,Scotland,Scotland
S12000014,S92000003,S92000003,Scotland,Scotland
S12000017,S92000003,S92000003,Scotland,Scotland
S12000018,S92000003,S92000003,Scotland,Scotland
S12000019,S92000003,S92000003,Scotland,Scotland
S12000020,S92000003,S92000003,Scotland,Scotland
S12000021,S92000003,S92000003,Scotland,Scotland
S12000023,S92000003,S92000003,Scotland,Scotland
S12000026,S92000003,S92000003,Scotland,Scotland
S12000027,S92000003,S92000003,Scotland,Scotland
S12000028,S92000003,S92000003,Scotland,Scotland
S12000029,S92000003,S92000003,Scotland,Scotland
S12000030,S92000003,S92000003,Scotland,Scotland
S12000033,S92000003,S92000003,Scotland,Scotland
S12000034,S92000003,S92000003,Scotland,Scotland
S12000035,S92000003,S92000003,Scotland,Scotland
S12000036,S92000003,S92000003,Scotland,Scotland
S12000038,S92000003,S92000003,Scotland,Scotland
S12000039,S92000003,S92000003,Scotland,Scotland
S12000040,S92000003,S92000003,Scotland,Scotland
S12000041,S92000003,S92000003,Scotland,Scotland
S12000042,S92000003,S92000003,Scotland,Scotland
S12000045,S92000003,S92000003,Scotland,Scotland
S12000047,S92000003,S92000003,Scotland,Scotland
S12000048,S92000003,S92000003,Scotland,Scotland
S12000049,S92000003,S92000003,Scotland,Scotland
S12000050,S92000003,S92000003,Scotland,Scotland
W06000001,W92000004,W92000004,Wales,Wales
W06000002,W92000004,W92000004,Wales,Wales
W06000003,W92000004,W92000004,Wales,Wales
W06000004,W92000004,W92000004,Wales,Wales
W06000005,W92000004,W92000004,Wales,Wales
W06000006,W92000004,W92000004,Wales,Wales
W06000008,W92000004,W92000004,Wales,Wales
W06000009,W92000004,W92000004,Wales,Wales
W06000010,W92000004,W92000004,Wales,Wales
W06000011,W92000004,W92000004,Wales,Wales
W06000012,W92000004,W92000004,Wales,Wales
W06000013,W92000004,W92000004,Wales,Wales
W06000014,W92000004,W92000004,Wales,Wales
W06000015,W92000004,W92000004,Wales,Wales
W06000016,W92000004,W92000004,Wales,Wales
W06000018,W92000004,W92000004,Wales,Wales
W06000019,W92000004,W92000004,Wales,Wales
W06000020,W92000004,W92000004,Wales,Wales
W06000021,W92000004,W92000004,Wales,Wales
W06000022,W92000004,W92000004,Wales,Wales
W06000023,W92000004,W92000004,Wales,Wales
W06000024,W92000004,W92000004,Wales,Wales